ENST00000000233	2b6hA
ENST00000366621	3ukmA
ENST00000366624	4uyaA
ENST00000366639	3pjaL
ENST00000366641	2hbtA
ENST00000366667	2wxwA
ENST00000366672	2ffuA
ENST00000366690	2bmdA
ENST00000366691	2q3hA
ENST00000366696	3a6nE
ENST00000366711	6geuA
ENST00000366756	4xbmB
ENST00000366779	4pedA
ENST00000366794	4dqyC
ENST00000366812	6hlnA
ENST00000366816	3av2E
ENST00000366847	2d68A
ENST00000366872	
ENST00000366898	5c1zA
ENST00000366899	2oudA
ENST00000366910	6fw2A
ENST00000366923	5vadA
ENST00000366928	5kreA
ENST00000366956	6iwdA
ENST00000366957	4wuyA
ENST00000366962	6rw0A
ENST00000366977	5lskN
ENST00000366991	6qc0B
ENST00000366999	2w5aA
ENST00000367002	6drfA
ENST00000367028	4ijuB
ENST00000367033	3q3jA
ENST00000367034	3j7yP
ENST00000367048	1wl4A
ENST00000367070	5i0qB
ENST00000367080	5htkA
ENST00000367089	5jpwA
ENST00000367098	4dohA
ENST00000367103	4tyhA
ENST00000367109	5y86A
ENST00000367139	
ENST00000367166	6ajkA
ENST00000367182	3fdoA
ENST00000367225	6am3A
ENST00000367229	5hbfA
ENST00000367244	2rrhA
ENST00000367255	4dxrB
ENST00000367261	2vpjA
ENST00000367262	1fwqA
ENST00000367288	4z94G
ENST00000367339	1kcgC
ENST00000367341	4s0uC
ENST00000367362	4oniB
ENST00000367387	2dmqA
ENST00000367400	4uu5B
ENST00000367435	5ydeA
ENST00000367459	2bv1A
ENST00000367460	2jm5A
ENST00000367466	1cjyA
ENST00000367467	2ebpA
ENST00000367468	5f1aA
ENST00000367478	5to5A
ENST00000367495	6ff8A
ENST00000367498	6n3hA
ENST00000367510	4r8pL
ENST00000367519	4rkkA
ENST00000367535	1wm5A
ENST00000367545	1qagA
ENST00000367549	3llmA
ENST00000367553	6arhB
ENST00000367558	2bt2A
ENST00000367559	4oauC
ENST00000367569	6ff4x
ENST00000367573	3bxlB
ENST00000367576	6g18t
ENST00000367590	5ijhB
ENST00000367591	3mk4A
ENST00000367602	3lliA
ENST00000367607	2cozA
ENST00000367612	5j1sB
ENST00000367619	
ENST00000367630	2lxlA
ENST00000367660	2l2oA
ENST00000367669	5hqgA
ENST00000367679	1x5mA
ENST00000367685	
ENST00000367696	4qikB
ENST00000367698	2znhA
ENST00000367721	5l19A
ENST00000367739	1fg9C
ENST00000367818	1j8iA
ENST00000367833	5d9gA
ENST00000367837	5lzzjj
ENST00000367851	4clfA
ENST00000367872	2ctoA
ENST00000367879	1uj2B
ENST00000367900	2ve7D
ENST00000367928	4cyfA
ENST00000367929	5kazA
ENST00000367943	4jnbA
ENST00000367993	5xtdQ
ENST00000367996	3b2zF
ENST00000368003	2k07A
ENST00000368010	6nr82
ENST00000368012	4frwA
ENST00000368020	1an4A
ENST00000368026	1nbqA
ENST00000368057	2if7D
ENST00000368072	5lnfA
ENST00000368073	3i8eC
ENST00000368078	5crgB
ENST00000368094	1v5jA
ENST00000368109	4ercB
ENST00000368115	1f6aA
ENST00000368130	3vd8A
ENST00000368141	5h7qA
ENST00000368167	3s6cA
ENST00000368168	4onoA
ENST00000368170	4onoA
ENST00000368171	4ww2C
ENST00000368222	5hzqA
ENST00000368300	1ivtA
ENST00000368314	3v3lB
ENST00000368321	2yqrA
ENST00000368346	6ineA
ENST00000368352	4giwA
ENST00000368356	5cg5A
ENST00000368361	6fykB
ENST00000368373	6q6nA
ENST00000368407	3heiB
ENST00000368440	5ebeA
ENST00000368455	5d8kB
ENST00000368457	4up5A
ENST00000368467	3ch4B
ENST00000368474	2mdrA
ENST00000368485	1n26A
ENST00000368498	2dc2A
ENST00000368508	3zbfA
ENST00000368547	2hw5A
ENST00000368576	6fgeA
ENST00000368596	
ENST00000368605	
ENST00000368633	4htmA
ENST00000368636	2j5dA
ENST00000368654	1r21A
ENST00000368704	2l50A
ENST00000368708	2rgiA
ENST00000368713	3nslC
ENST00000368715	4cfrB
ENST00000368718	2kaxA
ENST00000368719	1k8uA
ENST00000368722	1psrA
ENST00000368729	4aqiA
ENST00000368732	4ggfA
ENST00000368737	2m9gA
ENST00000368738	5i8nA
ENST00000368799	4pcwC
ENST00000368802	6bi7H
ENST00000368811	4hrhB
ENST00000368814	4gahB
ENST00000368817	4ae7A
ENST00000368830	3j7yH
ENST00000368842	2x4dA
ENST00000368845	2oatA
ENST00000368908	2djpA
ENST00000368910	3f4mA
ENST00000368932	5mqfE
ENST00000368984	3nziA
ENST00000368985	2c0yA
ENST00000368990	1eazA
ENST00000369026	6qxjA
ENST00000369042	5jnoA
ENST00000369063	2vn8A
ENST00000369068	4flbA
ENST00000369103	2dlrA
ENST00000369109	5a63C
ENST00000369124	3aa1C
ENST00000369144	3j8bA
ENST00000369146	4v11B
ENST00000369153	5lciA
ENST00000369155	4nftC
ENST00000369158	3av1E
ENST00000369159	6se0C
ENST00000369163	5kklB
ENST00000369168	4x4mE
ENST00000369221	1lpaB
ENST00000369301	6gc1A
ENST00000369303	2reiA
ENST00000369329	4gs6A
ENST00000369406	2wyaA
ENST00000369415	2q3fB
ENST00000369443	4umlA
ENST00000369448	
ENST00000369449	2r5gA
ENST00000369476	1qttA
ENST00000369478	1hnfA
ENST00000369484	1hp8A
ENST00000369485	3s24A
ENST00000369489	1cczA
ENST00000369501	5u09A
ENST00000369505	6ez8B
ENST00000369512	5jz7A
ENST00000369522	6f62A
ENST00000369534	3neyA
ENST00000369535	3conA
ENST00000369541	5mqfK
ENST00000369569	2mj7A
ENST00000369577	1x3cA
ENST00000369583	2g6zA
ENST00000369603	4a4fA
ENST00000369622	2nbbA
ENST00000369681	6mv2A
ENST00000369702	2oxcA
ENST00000369705	3wjaB
ENST00000369713	5yvnA
ENST00000369724	2dawA
ENST00000369740	3fy1A
ENST00000369755	6hvdA
ENST00000369769	4bgcA
ENST00000369774	2ekhA
ENST00000369798	3dbqA
ENST00000369799	3mtgA
ENST00000369836	4gtuA
ENST00000369838	2ct6A
ENST00000369839	6f3tA
ENST00000369842	1jeiA
ENST00000369847	2djbA
ENST00000369850	4m9pA
ENST00000369851	4g5oC
ENST00000369878	6dj3A
ENST00000369888	2gqjA
ENST00000369902	4blbA
ENST00000369947	4iaqA
ENST00000369966	4ot9A
ENST00000369980	6bfnA
ENST00000369996	4kgqC
ENST00000370073	3zyjB
ENST00000370078	4hc4A
ENST00000370079	3dhpA
ENST00000370080	3dhpA
ENST00000370083	3dhpA
ENST00000370167	3lj8A
ENST00000370169	2bcqA
ENST00000370187	6m90A
ENST00000370202	2ebkA
ENST00000370263	6cnjD
ENST00000370272	1jfiB
ENST00000370277	2ggmA
ENST00000370298	5xfrB
ENST00000370315	4levA
ENST00000370321	4v6xCD
ENST00000370339	4rciB
ENST00000370355	4zyoA
ENST00000370360	4f52E
ENST00000370397	5ebzA
ENST00000370418	2nsmA
ENST00000370455	2crrA
ENST00000370473	6k1zA
ENST00000370475	4qvzB
ENST00000370476	3iwpI
ENST00000370487	2n1dA
ENST00000370500	5iy6M
ENST00000370501	6osaR
ENST00000370508	3wzfA
ENST00000370521	4crsA
ENST00000370544	2l4zA
ENST00000370589	6ayeA
ENST00000370598	4dloA
ENST00000370608	6hrsA
ENST00000370629	1alyA
ENST00000370631	5i0nA
ENST00000370646	3s5oA
ENST00000370706	5d2mG
ENST00000370759	3ggeA
ENST00000370801	2fc7A
ENST00000370873	5ln3D
ENST00000370902	6d6qI
ENST00000370920	1n0zA
ENST00000370938	3cogD
ENST00000370963	3ik7A
ENST00000370981	
ENST00000370986	2kg4A
ENST00000370995	4v6xAh
ENST00000371021	1gngX
ENST00000371028	6igkB
ENST00000371079	5z55A
ENST00000371113	4cmnA
ENST00000371129	6euaA
ENST00000371139	1ka6A
ENST00000371146	6do5C
ENST00000371173	4ka4A
ENST00000371174	2coeA
ENST00000371222	5t01A
ENST00000371224	2h5gA
ENST00000371225	2maeA
ENST00000371244	6b1uC
ENST00000371270	2vn0A
ENST00000371281	6hfoA
ENST00000371316	3fo5A
ENST00000371380	2byfA
ENST00000371383	5vemA
ENST00000371410	6qdvZ
ENST00000371418	5y31B
ENST00000371437	5xtcS
ENST00000371442	6ff4t
ENST00000371443	3j7y9
ENST00000371447	3jwqA
ENST00000371467	3fmzA
ENST00000371470	2hyiA
ENST00000371471	4is1D
ENST00000371477	6id1L
ENST00000371485	3wutA
ENST00000371514	1qndA
ENST00000371558	6cyoA
ENST00000371568	5uj7A
ENST00000371579	4ebbB
ENST00000371589	1fo2A
ENST00000371620	3wtdB
ENST00000371621	5qgfA
ENST00000371625	4oryF
ENST00000371626	2k8vA
ENST00000371627	4uvsA
ENST00000371634	2qosC
ENST00000371655	3dz8A
ENST00000371666	5e4eC
ENST00000371712	2xswA
ENST00000371732	6n2mA
ENST00000371733	1eh2A
ENST00000371756	2daiA
ENST00000371785	3j9mAB
ENST00000371793	4xatA
ENST00000371795	4horA
ENST00000371804	6c6kA
ENST00000371818	6c6kC
ENST00000371850	4rojA
ENST00000371856	6htuA
ENST00000371884	2ypaA
ENST00000371906	5xjmA
ENST00000371917	3swvA
ENST00000371929	3vn4A
ENST00000371936	3lb6D
ENST00000371941	5fi0A
ENST00000371953	5bugA
ENST00000371959	
ENST00000371998	1kbhA
ENST00000372014	3j7yL
ENST00000372050	3kh0A
ENST00000372070	2alrA
ENST00000372090	2fc6A
ENST00000372133	3j7yr
ENST00000372201	4b6lA
ENST00000372213	2obvA
ENST00000372224	5mioC
ENST00000372232	2p82A
ENST00000372236	6mxoA
ENST00000372257	2xriA
ENST00000372285	6faxR
ENST00000372292	1b08B
ENST00000372330	1l6jA
ENST00000372343	2xwuB
ENST00000372358	2nn6H
ENST00000372391	1uitA
ENST00000372396	5f2sB
ENST00000372398	1g8iA
ENST00000372409	6irvA
ENST00000372429	6kczA
ENST00000372476	5n06A
ENST00000372479	2cpxA
ENST00000372486	5cvdB
ENST00000372522	6j7bB
ENST00000372538	2avdA
ENST00000372561	1p9oB
ENST00000372563	4x30A
ENST00000372577	5ijoJ
ENST00000372581	1uyaA
ENST00000372600	6djbB
ENST00000372622	2mwiA
ENST00000372692	2e50A
ENST00000372715	
ENST00000372718	2iqjB
ENST00000372733	1ejpA
ENST00000372748	5ctdB
ENST00000372759	5sytA
ENST00000372797	1k8fA
ENST00000372806	3comB
ENST00000372808	1r74B
ENST00000372833	3j9mA2
ENST00000372874	3iarA
ENST00000372876	2yuhA
ENST00000372899	5tdbA
ENST00000372923	6dluB
ENST00000372945	3j9mAM
ENST00000372967	5xtch
ENST00000372989	3fdwA
ENST00000372991	3g33B
ENST00000373001	6cesC
ENST00000373016	2eheA
ENST00000373019	6ah0w
ENST00000373023	3n9vA
ENST00000373025	1htrB
ENST00000373034	
ENST00000373053	6o58A
ENST00000373087	3v32A
ENST00000373089	1hkfA
ENST00000373113	5ud8A
ENST00000373116	3j9mAL
ENST00000373178	6d36C
ENST00000373191	5vm9A
ENST00000373202	4q6rB
ENST00000373203	5i04A
ENST00000373210	6oonA
ENST00000373212	1u6tA
ENST00000373218	2mx4A
ENST00000373232	6c45A
ENST00000373233	2epbA
ENST00000373237	5le5J
ENST00000373241	2gaoA
ENST00000373255	6fy5B
ENST00000373256	5vewB
ENST00000373264	4imyA
ENST00000373304	6rz5A
ENST00000373316	3zozA
ENST00000373327	2eqoA
ENST00000373365	3w0tA
ENST00000373382	5f0jB
ENST00000373425	
ENST00000373433	4nadA
ENST00000373451	4n48B
ENST00000373467	5g4pA
ENST00000373477	5thhA
ENST00000373479	4orhG
ENST00000373491	6d0sA
ENST00000373493	4pc0B
ENST00000373498	3voqA
ENST00000373509	3f2aA
ENST00000373548	5icnB
ENST00000373585	2e29A
ENST00000373588	4qjrA
ENST00000373614	5bqmB
ENST00000373624	6ekkA
ENST00000373625	4uadA
ENST00000373631	2wo6C
ENST00000373644	6asdC
ENST00000373647	4nc6A
ENST00000373664	4yooA
ENST00000373670	4z31B
ENST00000373699	1xwnA
ENST00000373713	4tkbA
ENST00000373715	2i2yA
ENST00000373719	5lwvA
ENST00000373768	5xtcu
ENST00000373818	3ffnA
ENST00000373824	1h3oB
ENST00000373825	5mxxA
ENST00000373830	2dhgA
ENST00000373840	4d0gA
ENST00000373856	5ifmA
ENST00000373857	5zkpA
ENST00000373886	6gy4A
ENST00000373887	5h10C
ENST00000373910	4qplB
ENST00000373935	6m8cA
ENST00000373943	2dnxA
ENST00000373968	1hupA
ENST00000373970	3s2kC
ENST00000374012	3sd4A
ENST00000374029	5kk9A
ENST00000374037	1yo5C
ENST00000374045	2o0oA
ENST00000374092	6nzuA
ENST00000374114	1welA
ENST00000374140	3fbkB
ENST00000374202	3qb7C
ENST00000374206	4ui9G
ENST00000374212	2ls3A
ENST00000374213	
ENST00000374242	4owtC
ENST00000374253	1wwvA
ENST00000374259	1e17A
ENST00000374272	4m3lA
ENST00000374316	6dr0C
ENST00000374338	2g30P
ENST00000374391	3v98A
ENST00000374403	
ENST00000374431	4z35A
ENST00000374467	4u2vA
ENST00000374472	5ztyA
ENST00000374490	2cw6A
ENST00000374514	5synA
ENST00000374516	5xfoA
ENST00000374517	1m7tA
ENST00000374541	4ri5A
ENST00000374542	4hgaA
ENST00000374552	1rj7K
ENST00000374561	2lfhA
ENST00000374580	3g2fA
ENST00000374583	2l0bA
ENST00000374640	5hzfA
ENST00000374642	5hzfA
ENST00000374647	5cqrA
ENST00000374662	4cqlA
ENST00000374690	2pnuA
ENST00000374694	6ndzA
ENST00000374695	3sh4A
ENST00000374700	6q6qA
ENST00000374736	5xjyA
ENST00000374737	5imlA
ENST00000374789	2komA
ENST00000374852	4y7iA
ENST00000374859	6avoA
ENST00000374865	3j7yh
ENST00000374869	4yjlG
ENST00000374882	5l5aK
ENST00000374884	4uy4A
ENST00000374919	5a1hA
ENST00000374943	6digB
ENST00000374975	1zglB
ENST00000374980	6k71M
ENST00000375001	3n3fA
ENST00000375006	1k6mA
ENST00000375011	
ENST00000375071	1mq0A
ENST00000375098	
ENST00000375116	5wzwA
ENST00000375120	4bouA
ENST00000375128	6j44A
ENST00000375147	1n52A
ENST00000375241	1oheA
ENST00000375299	2l08A
ENST00000375320	3k2sA
ENST00000375326	5q0bA
ENST00000375337	5q0cA
ENST00000375370	5tuuA
ENST00000375401	5fwjA
ENST00000375422	4kegA
ENST00000375436	5gwnA
ENST00000375437	6j8eA
ENST00000375440	2hyeC
ENST00000375448	2dewX
ENST00000375460	6ce1A
ENST00000375471	5hp5A
ENST00000375482	2cocA
ENST00000375486	4n2kA
ENST00000375550	5yq5B
ENST00000375559	4y6dA
ENST00000375571	2r8uB
ENST00000375581	5pagB
ENST00000375650	4j8fA
ENST00000375651	4j8fA
ENST00000375654	3gdqA
ENST00000375661	3jcr2
ENST00000375708	4gt4A
ENST00000375712	3b6uB
ENST00000375731	1hzdA
ENST00000375734	2v55B
ENST00000375749	5ux6A
ENST00000375754	4fl2A
ENST00000375759	4p6qA
ENST00000375765	2erxA
ENST00000375784	4jzqA
ENST00000375799	3cxbB
ENST00000375820	6mpxA
ENST00000375856	3fqxC
ENST00000375859	6i8yA
ENST00000375887	4zchB
ENST00000375888	3flvA
ENST00000375916	2wewA
ENST00000375940	5lohB
ENST00000375949	4h4fA
ENST00000375963	5w0nA
ENST00000375964	4dwfA
ENST00000375980	5i2lA
ENST00000375994	2lv6B
ENST00000376004	2di7A
ENST00000376006	3mcfA
ENST00000376020	2edpA
ENST00000376059	2g2bA
ENST00000376062	1r2iA
ENST00000376236	3zdlB
ENST00000376259	3alqS
ENST00000376285	2cqyA
ENST00000376352	2ysgA
ENST00000376355	5vxcA
ENST00000376395	2klcA
ENST00000376406	3k05B
ENST00000376442	6ff7q
ENST00000376447	2p5sB
ENST00000376468	3n56C
ENST00000376485	4b5oA
ENST00000376495	4bopA
ENST00000376499	1gxrA
ENST00000376509	2iwiB
ENST00000376547	3a7gB
ENST00000376573	2ybxA
ENST00000376588	3e77A
ENST00000376619	5eduA
ENST00000376630	3bzfA
ENST00000376649	4iqmA
ENST00000376656	2ecjA
ENST00000376663	2na1A
ENST00000376670	6g0qB
ENST00000376673	2e5sA
ENST00000376701	1ej5A
ENST00000376734	2yslA
ENST00000376736	1q9sA
ENST00000376834	5yf0A
ENST00000376851	1lo6A
ENST00000376936	3safA
ENST00000376957	2o06A
ENST00000376980	2cqrA
ENST00000377034	4mr7A
ENST00000377038	1iyrA
ENST00000377050	6gf2A
ENST00000377071	5jh5A
ENST00000377075	6g52A
ENST00000377084	4rcaB
ENST00000377102	5hkzB
ENST00000377103	5to3B
ENST00000377122	4f14A
ENST00000377190	6a3zA
ENST00000377227	2mkfA
ENST00000377244	6mbiA
ENST00000377263	1m1eB
ENST00000377264	
ENST00000377275	1yzgA
ENST00000377304	5wwqA
ENST00000377317	5xocB
ENST00000377340	6iczJ
ENST00000377351	6dc6A
ENST00000377462	
ENST00000377474	6qzlB
ENST00000377482	4zjvD
ENST00000377507	6mgpX
ENST00000377524	3ldzA
ENST00000377526	2ekfA
ENST00000377595	1xd3A
ENST00000377603	2yu3A
ENST00000377636	3qybA
ENST00000377648	3o7aA
ENST00000377670	4wn5A
ENST00000377674	3b84A
ENST00000377687	2ebtA
ENST00000377708	4f8qA
ENST00000377710	5zywA
ENST00000377733	5gt0D
ENST00000377745	6buzB
ENST00000377759	5wy2C
ENST00000377765	2edvA
ENST00000377767	6d6qK
ENST00000377770	1xfdA
ENST00000377791	6muoG
ENST00000377793	4u9wA
ENST00000377799	1g55A
ENST00000377803	6buzB
ENST00000377833	3kq4B
ENST00000377838	2rsiA
ENST00000377855	2qq2C
ENST00000377865	2ee0A
ENST00000377891	6irsA
ENST00000377918	
ENST00000377942	
ENST00000377943	6ff7X
ENST00000377960	4aiwA
ENST00000377970	5i4zA
ENST00000378024	4ftgE
ENST00000378045	2n9xB
ENST00000378060	2zmeB
ENST00000378069	6fvzA
ENST00000378149	1qrpE
ENST00000378164	6mzcB
ENST00000378165	4c2xA
ENST00000378198	5inoA
ENST00000378203	6ahrC
ENST00000378214	2e7mA
ENST00000378230	5lpiB
ENST00000378247	5jcyB
ENST00000378278	4htpC
ENST00000378295	2xwcA
ENST00000378357	5dvxA
ENST00000378364	4x45A
ENST00000378378	1x6bA
ENST00000378423	2f57A
ENST00000378444	2n1lA
ENST00000378454	2dnfA
ENST00000378460	5a9q1
ENST00000378494	4pwyA
ENST00000378526	3l2pA
ENST00000378536	1sbxA
ENST00000378569	1bo0A
ENST00000378572	2dk4A
ENST00000378588	3a1fA
ENST00000378626	3zxfB
ENST00000378667	5xteA
ENST00000378688	6a94A
ENST00000378720	3fcxA
ENST00000378789	2rdtA
ENST00000378823	5goxA
ENST00000378827	4n1dA
ENST00000378842	6gqdA
ENST00000378888	
ENST00000378910	4zrtB
ENST00000378970	4rwvB
ENST00000378981	6r7tB
ENST00000378993	5wy8B
ENST00000379019	2z0bA
ENST00000379028	1ueyA
ENST00000379071	4a60A
ENST00000379143	1u7bA
ENST00000379153	5mj0A
ENST00000379161	5l85B
ENST00000379214	4kt1A
ENST00000379215	2vx2A
ENST00000379236	2hevR
ENST00000379263	6cghA
ENST00000379270	2g3tA
ENST00000379341	3tkpA
ENST00000379375	6dk5A
ENST00000379378	5tuuB
ENST00000379416	2e1qB
ENST00000379446	2l81A
ENST00000379454	5jqyA
ENST00000379485	4xc2E
ENST00000379487	2jxwA
ENST00000379510	3bs5B
ENST00000379554	3sf4E
ENST00000379561	3co6C
ENST00000379562	2ckkA
ENST00000379565	4nw6A
ENST00000379579	5uq1D
ENST00000379607	1d7qA
ENST00000379715	4bl7B
ENST00000379727	4i8vA
ENST00000379731	6fwtA
ENST00000379747	5yjhA
ENST00000379751	1hlvA
ENST00000379756	2ee7A
ENST00000379757	2dizA
ENST00000379802	5dzzA
ENST00000379834	4otpA
ENST00000379847	5xtcb
ENST00000379883	5f9fI
ENST00000379887	5tteB
ENST00000379888	6hipA
ENST00000379919	5eomA
ENST00000379953	3b2dC
ENST00000379959	2b5iD
ENST00000379984	3jd6O
ENST00000379996	4bgqA
ENST00000380034	2ecvA
ENST00000380036	4k0vA
ENST00000380051	6ahrL
ENST00000380071	
ENST00000380079	6hcyA
ENST00000380099	5w21A
ENST00000380113	2carA
ENST00000380118	2f6qA
ENST00000380155	1x3aA
ENST00000380183	4nreA
ENST00000380205	
ENST00000380229	3se4B
ENST00000380232	1au1A
ENST00000380310	6asbI
ENST00000380320	2ka3A
ENST00000380325	3j9mAU
ENST00000380332	2b1uA
ENST00000380338	5yyfA
ENST00000380379	2ocgA
ENST00000380393	
ENST00000380394	5aj0BG
ENST00000380420	6h1hA
ENST00000380433	2rmhA
ENST00000380445	4bx9C
ENST00000380448	2fvlA
ENST00000380450	1d2sA
ENST00000380455	4fglD
ENST00000380488	3zkjA
ENST00000380518	5nirA
ENST00000380527	6cesA
ENST00000380591	3lkxA
ENST00000380607	2d4cA
ENST00000380615	6b5cA
ENST00000380622	3o65A
ENST00000380680	2gowA
ENST00000380702	2qykA
ENST00000380707	4gliA
ENST00000380733	6emrA
ENST00000380739	4ga7A
ENST00000380753	2hdjA
ENST00000380773	3vhtB
ENST00000380794	4xnhF
ENST00000380815	6gpkA
ENST00000380822	3iijA
ENST00000380871	2l9rA
ENST00000380872	3c3uA
ENST00000380913	5f4yB
ENST00000380950	6csvA
ENST00000380956	2dllA
ENST00000380985	5luzA
ENST00000380986	4c02B
ENST00000381020	6es3M
ENST00000381033	6f8fG
ENST00000381070	4r3eA
ENST00000381116	6neqz
ENST00000381125	4xyjA
ENST00000381129	5u9aA
ENST00000381163	4uegA
ENST00000381178	2xsnA
ENST00000381196	4rcaA
ENST00000381222	2ct5A
ENST00000381227	5iy6B
ENST00000381298	3l5hA
ENST00000381309	2xmlA
ENST00000381317	2p5xA
ENST00000381318	5hziA
ENST00000381341	4xw3B
ENST00000381434	2kllA
ENST00000381458	1l9mA
ENST00000381477	3l6fC
ENST00000381501	2lulA
ENST00000381527	4f6uA
ENST00000381566	5j11C
ENST00000381577	3bisB
ENST00000381605	2d9cA
ENST00000381627	2mv1B
ENST00000381652	6e2pA
ENST00000381668	
ENST00000381736	5ijnG
ENST00000381793	2disA
ENST00000381801	2yf0A
ENST00000381809	1zd8A
ENST00000381831	2qk4A
ENST00000381884	5eibF
ENST00000381897	2k6gA
ENST00000381908	1b6eA
ENST00000381911	2mkpI
ENST00000381962	1yzsA
ENST00000382038	3ggrC
ENST00000382073	5vybA
ENST00000382100	6byvA
ENST00000382103	4zdoD
ENST00000382112	6cesD
ENST00000382120	2jlpD
ENST00000382276	4yj0A
ENST00000382280	3aqgB
ENST00000382292	5v44C
ENST00000382303	5ybuA
ENST00000382353	1ihkA
ENST00000382361	6i18A
ENST00000382374	6iihB
ENST00000382409	2jw6A
ENST00000382592	4zriC
ENST00000382622	4x41A
ENST00000382679	3hj2A
ENST00000382689	3hj2A
ENST00000382743	4jsrA
ENST00000382771	1wz9A
ENST00000382844	2zw3A
ENST00000382862	4f3fC
ENST00000382865	4xvkA
ENST00000383052	1klrA
ENST00000383070	6edbA
ENST00000383202	6r7oA
ENST00000383263	
ENST00000383463	5ko9A
ENST00000383710	1wi1A
ENST00000383768	4z0rA
ENST00000383791	6djlE
ENST00000388752	3j7yD
ENST00000388822	5l6dB
ENST00000388825	2r37A
ENST00000388866	
ENST00000388887	5n86A
ENST00000388918	5m8sA
ENST00000388968	4pj1A
ENST00000388996	5j03A
ENST00000389032	5xqzC
ENST00000389048	4fnwA
ENST00000389063	5qoqA
ENST00000389120	5trbA
ENST00000389131	5ze3B
ENST00000389167	2l5gA
ENST00000389266	4qeiA
ENST00000389418	2qepA
ENST00000389501	2bqzB
ENST00000389614	2he3A
ENST00000389629	2db9A
ENST00000389682	1j1jA
ENST00000389704	2nn6C
ENST00000389749	5ccbA
ENST00000389805	4uf9A
ENST00000389851	5xv8A
ENST00000389879	2i53A
ENST00000390665	4i5lE
ENST00000391728	5t70G
ENST00000391828	6npyA
ENST00000391857	4ug0LO
ENST00000391909	6kakA
ENST00000391945	6nmiB
ENST00000392000	4h22B
ENST00000392006	1zrjA
ENST00000392027	1ew2A
ENST00000392038	1o6kA
ENST00000392045	6g8rB
ENST00000392092	5iy6P
ENST00000392102	5t6xC
ENST00000392133	6ergB
ENST00000392185	2rajA
ENST00000392197	3m5bA
ENST00000392226	1z8gA
ENST00000392325	6iyyA
ENST00000392365	1adzA
ENST00000392446	2h2nA
ENST00000392481	
ENST00000392499	6if9A
ENST00000392509	6gzlA
ENST00000392550	6n8rA
ENST00000392564	1griA
ENST00000392568	3q91D
ENST00000392580	1v84A
ENST00000392589	3p8cD
ENST00000392595	5j3eA
ENST00000392650	1wfoA
ENST00000392692	4n40A
ENST00000392693	3n1fC
ENST00000392745	2gkwA
ENST00000392750	3l8iA
ENST00000392770	4l1dA
ENST00000392783	5pg1A
ENST00000392857	5uj7C
ENST00000392870	4tndA
ENST00000392872	1wywA
ENST00000392882	2quhA
ENST00000392894	5zc4A
ENST00000393045	4mvtA
ENST00000393056	4zelA
ENST00000393066	3lrqA
ENST00000393067	1cqtJ
ENST00000393080	3dlwA
ENST00000393085	3aaaC
ENST00000393087	1atuA
ENST00000393094	3dplC
ENST00000393114	
ENST00000393229	3zygA
ENST00000393240	2r83A
ENST00000393256	2v6qB
ENST00000393304	2hupA
ENST00000393381	
ENST00000393405	4ikdA
ENST00000393408	5t1gA
ENST00000393436	4hdoB
ENST00000393567	2ys4A
ENST00000393599	1bd8A
ENST00000393609	4x1vB
ENST00000393664	4co8A
ENST00000393695	6hc2F
ENST00000393708	2y5cA
ENST00000393792	2ksnA
ENST00000393797	2p0dA
ENST00000393868	6g4qA
ENST00000393892	1wojA
ENST00000393909	3j7yQ
ENST00000393930	3ifqA
ENST00000393957	2jrfA
ENST00000394030	3zniA
ENST00000394053	5tc4A
ENST00000394077	4ug0LW
ENST00000394095	3eayA
ENST00000394121	3ilzA
ENST00000394123	4fcjA
ENST00000394144	6jm5A
ENST00000394155	2cupA
ENST00000394166	3cjwA
ENST00000394198	4bxfA
ENST00000394249	4l3iA
ENST00000394258	6f4tB
ENST00000394272	5vxaA
ENST00000394308	
ENST00000394391	2ld4A
ENST00000394412	4a14A
ENST00000394434	2wfdA
ENST00000394440	6qb8D
ENST00000394456	6o9lS
ENST00000394507	5d68B
ENST00000394532	1g5jB
ENST00000394597	1y02A
ENST00000394620	1esrA
ENST00000394667	4ug0Lg
ENST00000394709	4fsvA
ENST00000394718	2h9rC
ENST00000394729	1yrkA
ENST00000394818	6gr8B
ENST00000394854	1auiA
ENST00000394877	4fmwA
ENST00000394886	5g05C
ENST00000394894	
ENST00000394920	4v6xCA
ENST00000394957	
ENST00000394963	
ENST00000395042	1cmzA
ENST00000395052	5kznA
ENST00000395066	6fyrA
ENST00000395080	3cxdP
ENST00000395095	4ui9R
ENST00000395125	2z6eA
ENST00000395131	6nr86
ENST00000395159	2bskC
ENST00000395176	2yuaA
ENST00000395211	4z94G
ENST00000395284	6gu2A
ENST00000395321	1xfbA
ENST00000395353	1y7xA
ENST00000395472	2izvA
ENST00000395473	3wv6A
ENST00000395526	4wgkA
ENST00000395686	3ahrA
ENST00000395693	2rliA
ENST00000395719	5drvA
ENST00000395737	6d1uD
ENST00000395743	1ioxA
ENST00000395749	3bhhA
ENST00000395761	1mgsA
ENST00000395787	4m6rA
ENST00000395797	2epuA
ENST00000395799	5w6vB
ENST00000395860	4lg1C
ENST00000395863	1lxiA
ENST00000395891	3l4hA
ENST00000395925	4bldE
ENST00000395958	1qjaB
ENST00000396009	1a02N
ENST00000396049	5brkA
ENST00000396060	5m4sA
ENST00000396062	2mphA
ENST00000396081	2kdbA
