TRAJ23 A0A075B6U7
QTRT2 Q9H974
DCP1A Q9NPI6
ZFP64 Q9NTW7
MS4A12 Q9NXJ0
IL20 Q9NYY1
P2RX2 Q9UBL9
POLL Q9UGP5
SERTAD1 Q9UHV2
NRBP1 Q9UHY1
CTNNA3 Q9UI47
ZDHHC8 Q9ULC8
PPIE Q9UNP9
ZFR2 Q9UPR6
ZAN Q9Y493
PCDHA10 Q9Y5I2
SPCS1 Q9Y6A9
TRAJ24 A0A075B6Z9
TRAV19 A0A0A6YYK7
LOC101059948 A0A1B0GTJ6
SCYGR6 A0A286YF77
GRID2IP A4D2P6
TMEM235 A6NFC5
SYCE1L A8MT33
SHISA8 B8ZZ34
SLCO1B7 G3V0H7
TRIM77 I1YAP6
CHD2 O14647
TBC1D12 O60347
NME2P1 O60361
OR10H3 O60404
SOCS5 O75159
CRTAP O75718
CNTN5 O94779
ZBTB11 O95625
IFNA5 P01569
IGHA2 P01877
LRG1 P02750
ITGA2B P08514
ADRB1 P08588
KLRC2 P26717
GJB2 P29033
EPHA8 P29322
TLX1 P31314
MCM7 P33993
PHKA1 P46020
YAP1 P46937
PREP P48147
YLPM1 P49750
MTHFS P49914
STAT5B P51692
CARD18 P57730
RPL41 P62945
ARF5 P84085
NHLH2 Q02577
UBXN1 Q04323
EMX1 Q04741
MAB21L4 Q08AI8
NFX1 Q12986
MYO7A Q13402
BTN1A1 Q13410
GK3P Q14409
STAT4 Q14765
HYDIN Q4G0P3
ADGRF1 Q5T601
LCE2A Q5TA79
MRPL54 Q6P161
PLXDC2 Q6UX71
AATK Q6ZMQ8
MICALCL Q6ZW33
ERN2 Q76MJ5
FGD2 Q7Z6J4
PKHD1L1 Q86WI1
FANCM Q8IYD8
RASGEF1C Q8N431
RNF148 Q8N7C7
ZNF615 Q8N8J6
BANP Q8N9N5
EIF1AD Q8N9N8
TTC13 Q8NBP0
PDPR Q8NCN5
CHST13 Q8NET6
OR1M1 Q8NGA1
SPATA3 Q8NHX4
DENND10 Q8TCE6
TCP10L Q8TDR4
GPX8 Q8TED1
ARHGEF40 Q8TER5
CRYGN Q8WXF5
KIAA1191 Q96A73
TBC1D31 Q96DN5
TCTN2 Q96GX1
SGSM3 Q96HU1
FCRL2 Q96LA5
RBP7 Q96R05
TEAD3 Q99594
CCL13 Q99616
MCRIP2 Q9BUT9
CDCA4 Q9BXL8
STMN4 Q9H169
OSGEPL1 Q9H4B0
DEF6 Q9H4E7
MVB12B Q9H7P6
ZNF304 Q9HCX3
CNGB3 Q9NQW8
RPRM Q9NS64
CA10 Q9NS85
KCMF1 Q9P0J7
ZNF581 Q9P0T4
KLHL3 Q9UH77
CHORDC1 Q9UHD1
SLC7A8 Q9UHI5
AAR2 Q9Y312
RHBDD3 Q9Y3P4
IRAG1 Q9Y6F6
SESN1 Q9Y6P5
DDX49 Q9Y6V7
IGLV3-9 A0A075B6K5
ODAD3 A5D8V7
TMEM191C A6NGB0
USP17L5 A8MUK1
HSBP1L1 C9JCN9
PHGR1 C9JFL3
GPR31 O00270
ARNTL O00327
DNM1L O00429
ZBTB24 O43167
ADAM12 O43184
MLNR O43193
CBFA2T2 O43439
ORC5 O43913
KATNIP O60303
SLC16A7 O60669
ZPR1 O75312
PROP1 O75360
ZNF432 O94892
TSHB P01222
TRAV8-4 P01737
CRYGD P07320
BPGM P07738
C1QTNF9 P0C862
ZSCAN22 P10073
RRAS P10301
CCL5 P13501
AKR1B1 P15121
NPR1 P16066
UQCRC2 P22695
FAS P25445
STOM P27105
HNRNPH1 P31943
PYCR1 P32322
EIF1 P41567
TRAPPC10 P48553
FABP6 P51161
NR1H2 P55055
CORO7 P57737
TSPEAR-AS2 P59090
KRTAP12-3 P60328
KRTAP12-4 P60329
IL13RA1 P78552
OC90 Q02509
DGKZ Q13574
WTAP Q15007
DLGAP5 Q15398
ITSN1 Q15811
ZNF79 Q15937
HSPB2 Q16082
KRTAP21-3 Q3LHN1
ZBED5 Q49AG3
HIGD2B Q4VC39
KIAA2026 Q5HYC2
AKAP4 Q5JQC9
LINC01545 Q5VT33
LIPM Q5VYY2
TMEM132E Q6IEE7
CAPN13 Q6MZZ7
SASS6 Q6UVJ0
CIBAR2 Q6ZTR7
MEPCE Q7L2J0
TICRR Q7Z2Z1
KBTBD6 Q86V97
UEVLD Q8IX04
NRM Q8IXM6
LARGE2 Q8N3Y3
ZNF441 Q8N8Z8
GPR26 Q8NDV2
ANKRD20A12P Q8NF67
OR10P1 Q8NGE3
GPR150 Q8NGU9
OR10X1 Q8NGY0
OR6K3 Q8NGY3
DDX55 Q8NHQ9
PARD3 Q8TEW0
FRZB Q92765
PMEPA1 Q969W9
ZNF501 Q96CX3
OTUD5 Q96G74
SCLY Q96I15
TMEM141 Q96I45
CFAP53 Q96M91
ADGRA2 Q96PE1
TSNAX Q99598
TXNDC17 Q9BRA2
YIPF4 Q9BSR8
GLIS2 Q9BZE0
OSBPL7 Q9BZF2
KIF9 Q9HAQ2
PLAC1 Q9HBJ0
CHMP1A Q9HD42
PRDM9 Q9NQV7
FMN2 Q9NZ56
SEPTIN3 Q9UH03
SLC25A13 Q9UJS0
FOXD3 Q9UJU5
CNOT11 Q9UKZ1
EIF3L Q9Y262
NRXN3 Q9Y4C0
TRAJ11 A0A075B6Y8
C10orf143 A0A1B0GUT2
OR4C46 A6NHA9
TTLL13P A6NNM8
TRAFD1 O14545
GRM6 O15303
SUSD5 O60279
PHLPP1 O60346
DIAPH1 O60610
UGT2B11 O75310
FAM155B O75949
ABCA1 O95477
PMS2P2 O95744
CCNE2 O96020
MT-CO3 P00414
GYPC P04921
HSP90AA1 P07900
POTEJ P0CG39
PC P11498
IL7R P16871
AMPD1 P23109
TARS1 P26639
TTK P33981
CHKA P35790
TMPO P42166
PCP4 P48539
SPINT3 P49223
CAMP P49913
ADCY7 P51828
CSE1L P55060
UBE2H P62256
GNG3 P63215
IGLV3-21 P80748
MEF2B Q02080
ITGB3BP Q13352
PWP1 Q13610
FHL1 Q13642
FLG2 Q5D862
PPM1L Q5SGD2
VAX1 Q5SQQ9
MAP3K21 Q5TCX8
CARMIL1 Q5VZK9
RUSC1-AS1 Q66K80
PTCRA Q6ISU1
LPCAT3 Q6P1A2
USP17L2 Q6R6M4
DNAI7 Q6TDU7
APOOL Q6UXV4
CCDC81 Q6ZN84
SPATA31D4 Q6ZUB0
OTOP1 Q7RTM1
PRSS45P Q7RTY3
FAM220A Q7Z4H9
TXNDC2 Q86VQ3
NAT16 Q8N8M0
LRTM2 Q8N967
GJC3 Q8NFK1
NBEA Q8NFP9
OR52R1 Q8NGF1
OR8B3 Q8NGG8
UBA3 Q8TBC4
PHOSPHO1 Q8TCT1
MCOLN3 Q8TDD5
AFAP1L1 Q8TED9
PHIP Q8WWQ0
GOLGA1 Q92805
DUS3L Q96G46
DRC1 Q96MC2
NOL4L Q96MY1
AGAP4 Q96P64
NOTCH4 Q99466
EYA1 Q99502
KIF2C Q99661
PRRX2 Q99811
CIB1 Q99828
KLHDC3 Q9BQ90
EBF4 Q9BQW3
MXRA8 Q9BRK3
NOL10 Q9BSC4
FAM126A Q9BYI3
STK33 Q9BYT3
NMUR2 Q9GZQ4
RHBG Q9H310
CCDC134 Q9H6E4
TLE6 Q9H808
FBRS Q9HAH7
RNPEPL1 Q9HAU8
ARMC1 Q9NVT9
CDK12 Q9NYV4
FASTKD2 Q9NYY8
GPRC5B Q9NZH0
IL37 Q9NZH6
WRAP73 Q9P2S5
PNMA3 Q9UL41
ATXN7L1 Q9ULK2
STK38L Q9Y2H1
RAPGEF2 Q9Y4G8
SNX10 Q9Y5X0
SNURF Q9Y675
CFAP20 Q9Y6A4
TRGJ1 A0A075B6S0
TRBV27 A0A0K0K1C4
TRAPPC13 A5PLN9
OR2W5P A6NFC9
SPDYE4 A6NLX3
GOLGA8J A6NMD2
BTBD11 A6QL63
PALM2AKAP2 C9JA33
PIR O00625
CCL22 O00626
CTDSP2 O14595
COCH O43405
GPC4 O75487
NUP155 O75694
IDH1 O75874
OR2J3 O76001
CH25H O95992
GLUD1 P00367
SHBG P04278
CSN2 P05814
SPATA31D3 P0C874
FAM157C P0CG43
ELN P15502
CSF2RA P15509
TSHR P16473
ZNF32 P17041
RASA1 P20936
ACVRL1 P37023
GDNF P39905
MAGEA4 P43358
CPA2 P48052
KRT6C P48668
PSMB3 P49720
ARSD P51689
GSC P56915
BTN3A2 P78410
GSTM4 Q03013
SRY Q05066
MPP3 Q13368
PDE3B Q13370
KLF5 Q13887
VEZF1 Q14119
LY6D Q14210
GANAB Q14697
NONO Q15233
PTPRR Q15256
GUCA2B Q16661
UGT8 Q16880
PLEKHG6 Q3KR16
GRIPAP1 Q4V328
ATP6AP1L Q52LC2
FASTKD1 Q53R41
TJAP1 Q5JTD0
HES5 Q5TA89
PDPK2P Q6A1A2
NIPAL3 Q6P499
CYP20A1 Q6UW02
DLEU7 Q6UYE1
LIN28B Q6ZN17
TMED4 Q7Z7H5
SKA3 Q8IX90
BOD1L2 Q8IYS8
ENTHD1 Q8IYW4
MICALL1 Q8N3F8
ARIH2OS Q8N7S6
OR7G1 Q8NGA0
OR5T2 Q8NGG2
HUS1B Q8NHY5
WFIKKN2 Q8TEU8
NUDCD2 Q8WVJ2
SHC3 Q92529
MRPS27 Q92552
CNOT9 Q92600
BCL2L2 Q92843
MRGPRF Q96AM1
C18orf25 Q96B23
CCDC51 Q96ER9
HES6 Q96HZ4
ABHD8 Q96I13
ITCH Q96J02
C17orf77 Q96MU5
OXGR1 Q96P68
PAIP2 Q9BPZ3
SYT15 Q9BQS2
NAA11 Q9BSU3
MED10 Q9BTT4
KIAA0586 Q9BVV6
NUP85 Q9BW27
TTYH3 Q9C0H2
C6orf62 Q9GZU0
SGK2 Q9HBY8
ANO8 Q9HCE9
ZNF71 Q9NQZ8
PRO2289 Q9P1D8
DKK2 Q9UBU2
COPS7A Q9UBW8
LGALS13 Q9UHV8
CORO2B Q9UQ03
CRYL1 Q9Y2S2
LRRC42 Q9Y546
IGLV10-54 A0A075B6I4
TRBV10-3 A0A0K0K1G6
TEX48 A0A1B0GUV7
LITAFD A0A1B0GVX0
PCNX2 A6NKB5
OR52A4P A6NMU1
TECPR2 O15040
INPPL1 O15357
PER1 O15534
XRCC2 O43543
ABCB7 O75027
DENND4B O75064
OFD1 O75665
NADK O95544
ONECUT2 O95948
ADH1C P00326
IGHE P01854
BGLAP P02818
IGKV2-30 P06310
TUBB P07437
CD3G P09693
SMIM6 P0DI80
CLU P10909
UQCRB P14927
RNASE4 P34096
BRCC3 P46736
RXRG P48443
DGKG P49619
ZNF83 P51522
HSPA2 P54652
RPS26 P62854
AMPD2 Q01433
CENPE Q02224
ZNF85 Q03923
FOXM1 Q08050
MOBP Q13875
KRT72 Q14CN4
PDK2 Q15119
PCSK7 Q16549
MEA1 Q16626
KIZ Q2M2Z5
SHROOM1 Q2M3G4
SLC45A4 Q5BKX6
MARCHF8 Q5T0T0
BVES-AS1 Q5T3Y7
ANKRD20A1 Q5TYW2
FAM222A Q5U5X8
PGBD2 Q6P3X8
TUBA3E Q6PEY2
KCTD18 Q6PI47
RASL11A Q6T310
PLPPR3 Q6T4P5
EML6 Q6ZMW3
CDC37L1 Q7L3B6
PNPLA5 Q7Z6Z6
PPIL6 Q8IXY8
UBALD2 Q8IYN6
PAK6-AS1 Q8N910
CBY2 Q8NA61
TET1 Q8NFU7
SNX29 Q8TEQ0
MZB1 Q8WU39
METTL21A Q8WXB1
PHF21A Q96BD5
TAMM41 Q96BW9
SYTL4 Q96C24
TLCD1 Q96CP7
CCDC124 Q96CT7
TSPAN17 Q96FV3
VPS39 Q96JC1
CLSTN3 Q9BQT9
SRSF8 Q9BRL6
ISCA1 Q9BUE6
DDA1 Q9BW61
KRTAP4-5 Q9BYR2
SETD5 Q9C0A6
OR11A1 Q9GZK7
NAT10 Q9H0A0
POFUT1 Q9H488
PRDM12 Q9H4Q4
TMEM134 Q9H6X4
ATP13A3 Q9H7F0
RMI1 Q9H9A7
GLOD4 Q9HC38
AAAS Q9NRG9
KCNIP2 Q9NS61
INTS13 Q9NVM9
STK26 Q9P289
CD300A Q9UGN4
ITGB1BP2 Q9UKP3
DENND2A Q9ULE3
CDC14A Q9UNH5
COA3 Q9Y2R0
RTCB Q9Y3I0
TMED3 Q9Y3Q3
SPEF1 Q9Y4P9
AP4B1 Q9Y6B7
A3GALT2 U3KPV4
FAM186A A6NE01
CENPX A8MT69
FAM90A23P A8MXZ1
ADM5 C9JUS6
GOLGA8K D6RF30
SCD O00767
EREG O14944
PALM O75781
TM7SF2 O76062
FAM13A O94988
SLITRK5 O94991
LYPD3 O95274
IGKV1D-16 P01601
SRPRA P08240
ERVK-10 P10266
ANXA7 P20073
CNTF P26441
ARNT P27540
S100G P29377
IL12A P29459
POLR2B P30876
CDH5 P33151
ITGAE P38570
KIR2DS2 P43631
SLC1A6 P48664
ST8SIA6 P61647
HSF2 Q03933
APLP2 Q06481
RAB40B Q12829
TRAF3 Q13114
DPYSL3 Q14195
MEF2D Q14814
LTB4R Q15722
SMIM21 Q3B7S5
RABL6 Q3YEC7
TMEM196 Q5HYL7
CLLU1 Q5K131
MANEA Q5SRI9
SZT2 Q5T011
ZNF362 Q5T0B9
GPR157 Q5UAW9
CYB5RL Q6IPT4
SCYL2 Q6P3W7
EMB Q6PCB8
AGMO Q6ZNB7
LRRC74B Q6ZQY2
MAVS Q7Z434
JAZF1 Q86VZ6
RASSF3 Q86WH2
ERC1 Q8IUD2
ZNF595 Q8IYB9
MAML2 Q8IZL2
TBC1D19 Q8N5T2
IL22RA1 Q8N6P7
CELF5 Q8N6W0
DBF4B Q8NFT6
OR5AK3P Q8NH89
UHMK1 Q8TAS1
WIPF2 Q8TF74
ABCA5 Q8WWZ7
ATRIP Q8WXE1
RGP1 Q92546
NAA80 Q93015
AKT1S1 Q96B36
PGBD4 Q96DM1
SLC35A4 Q96G79
C16orf74 Q96GX8
TIMD4 Q96H15
GMPPA Q96IJ6
CPB2 Q96IY4
ZNF778 Q96MU6
IFT140 Q96RY7
AMELY Q99218
ATF6B Q99941
PDCD2L Q9BRP1
MLPH Q9BV36
ADI1 Q9BV57
RTL8A Q9BWD3
MAP1LC3C Q9BXW4
DGCR6L Q9BY27
EIF2A Q9BY44
SLC25A39 Q9BZJ4
ROGDI Q9GZN7
ZNF541 Q9H0D2
CNNM2 Q9H8M5
ARNT2 Q9HBZ2
ZSWIM6 Q9HCJ5
SPANXB1 Q9NS25
RMND1 Q9NWS8
TRMT1 Q9NXH9
KCTD5 Q9NXV2
SLC23A1 Q9UHI7
PUF60 Q9UHX1
SOX13 Q9UN79
BSN Q9UPA5
MOK Q9UQ07
RNF24 Q9Y225
HBS1L Q9Y450
TESMIN Q9Y4I5
CSAG2 Q9Y5P2
IGKV1-27 A0A075B6S5
IGKV3OR2-268 A0A0C4DH90
TAF11L7 A0A1W2PP81
TMEM72 A0PK05
NKX2-6 A6NCS4
EFCAB10 A6NFE3
SPDYE3 A6NKU9
TMCO5B A8MYB1
KPNA7 A9QM74
LOC730098 B7Z3J9
PIK3R2 O00459
SLC9A3R1 O14745
SETD1A O15047
EIF3D O15371
NCAM2 O15394
TNFSF12 O43508
FRS3 O43559
HYAL3 O43820
CIDEA O60543
PEX10 O60683
LILRB5 O75023
STX11 O75558
SLITRK3 O94933
PTHLH P12272
PRKAR2A P13861
PMCH P20382
HMGB2 P26583
CD34 P28906
NTSR1 P30989
IL2RG P31785
SLC16A2 P36021
PPIC P45877
MAPK9 P45984
SLC6A8 P48029
TM4SF4 P48230
STX17 P56962
SYNJ2BP P57105
LILRA4 P59901
CXCL6 P80162
MAP4K2 Q12851
PDIA2 Q13087
PPIL2 Q13356
EIF4A2 Q14240
HEPACAM Q14CZ8
RBMS2 Q15434
SMN1 Q16637
SPDYE2 Q495Y8
TM4SF20 Q53R12
WDR81 Q562E7
MPV17L2 Q567V2
TRIM61 Q5EBN2
METTL24 Q5JXM2
PRPF38B Q5VTL8
ABLIM2 Q6H8Q1
TENM4 Q6N022
PPP4R4 Q6NUP7
AADACL2 Q6P093
TTC41P Q6P2S7
RANBP10 Q6VN20
PGAP1 Q75T13
SAMD7 Q7Z3H4
IQGAP3 Q86VI3
RASGEF1A Q8N9B8
C12orf50 Q8NA57
OR4K17 Q8NGC6
OR5H2 Q8NGV7
MAGEC3 Q8TD91
ANKRD24 Q8TF21
ZDHHC1 Q8WTX9
UBTD2 Q8WUN7
KIFAP3 Q92845
TNFRSF25 Q93038
RFK Q969G6
FAM241B Q96D05
R3HDM4 Q96D70
GIMAP5 Q96F15
MSANTD3 Q96H12
NTAQ1 Q96HA8
ABCC12 Q96J65
MAML3 Q96JK9
DNAJC1 Q96KC8
IMMP1L Q96LU5
MIA2 Q96PC5
NOX5 Q96PH1
NKX3-1 Q99801
KCNS3 Q9BQ31
TMEM243 Q9BU79
CHAC1 Q9BUX1
YJU2 Q9BW85
NMNAT2 Q9BZQ4
TUBA4B Q9H853
IPPK Q9H8X2
CERS4 Q9HA82
SPC25 Q9HBM1
ING3 Q9NXR8
EHD2 Q9NZN4
PTGFRN Q9P2B2
KIAA1107 Q9UPP5
PAM16 Q9Y3D7
TEX49 A0A1B0GTD5
C16orf96 A6NNT2
ESPN B1AK53
OR11H12 B2RN74
RFPL4AL1 F8VTS6
SYNJ1 O43426
PLPP2 O43688
PPP1R11 O60927
GPX5 O75715
KRT34 O76011
S1PR2 O95136
AP2A1 O95782
COL3A1 P02461
LIPF P07098
SOD3 P08294
SETSIP P0DME0
SLC2A2 P11168
RLBP1 P12271
LYL1 P12980
FDPS P14324
NCF1 P14598
GRK2 P25098
HOXA13 P31271
OTX2 P32243
S100A5 P33763
ADD2 P35612
NPBWR1 P48145
HCCS P53701
GNB1 P62873
UBE2I P63279
NRG1 Q02297
PAX5 Q02548
PRKCZ Q05513
UNC119 Q13432
EIF4EBP2 Q13542
KRR1 Q13601
FGL2 Q14314
IL11RA Q14626
TBC1D28 Q2M2D7
MRGPRG-AS1 Q2M3A8
LRRC75B Q2VPJ9
C3orf36 Q3SXR2
CCDC88A Q3V6T2
OTOGL Q3ZCN5
USH1G Q495M9
KHDC3L Q587J8
ARSH Q5FYA8
MIR1915HG Q5T4H9
DEPDC1 Q5TB30
TMEM164 Q5U3C3
VPS53 Q5VIR6
DUSP29 Q68J44
ZNF529 Q6P280
DNAJC24 Q6P3W2
RPL22L1 Q6P5R6
LRFN4 Q6PJG9
MARK2 Q7KZI7
SLC16A14 Q7RTX9
APTX Q7Z2E3
TMC6 Q7Z403
TAFA3 Q7Z5A8
SETD3 Q86TU7
LINC02875 Q86X59
FUNDC1 Q8IVP5
COLGALT2 Q8IYK4
NRSN1 Q8IZ57
MTURN Q8N3F0
OR1B1 Q8NGR6
OR4Q3 Q8NH05
SPATA18 Q8TC71
UBE2Q2 Q8WVN8
TRAPPC12 Q8WVT3
ASB12 Q8WXK4
RPE Q96AT9
SGK3 Q96BR1
CDKN2AIPNL Q96HQ2
SUCLG2 Q96I99
MRGPRX2 Q96LB1
ODAD1 Q96M63
GPR137 Q96N19
ERGIC2 Q96RQ1
H4C7 Q99525
TTC1 Q99614
APOO Q9BUR5
FGFBP2 Q9BYJ0
CELF4 Q9BZC1
CYSTM1 Q9H1C7
SCPEP1 Q9HB40
EXOSC4 Q9NPD3
CBLN4 Q9NTU7
MTPAP Q9NVV4
NCDN Q9UBB6
EXTL2 Q9UBQ6
CYTH4 Q9UIA0
ZNF112 Q9UJU3
TFR2 Q9UP52
POMP Q9Y244
UBE2J1 Q9Y385
WDR45 Q9Y484
HRH3 Q9Y5N1
TRBV24-1 A0A075B6N3
MAGEB6B A0A0J9YX57
SPDYE13 A0A494C0Z2
KPNA4 O00629
CPLX1 O14810
KCNAB3 O43448
SIPA1L3 O60292
DEDD O75618
NEURL1 O76050
SLC25A27 O95847
SLC16A8 O95907
CGA P01215
GAST P01350
S100A8 P05109
COL1A2 P08123
PDHA1 P08559
OR56A5 P0C7T3
RGPD1 P0DJD0
MYCLP1 P12525
ANXA8 P13928
PCMT1 P22061
TUBG1 P23258
ANXA13 P27216
PEX19 P40855
FXR1 P51114
PSMD4 P55036
EIF3B P55884
PSMC6 P62333
SELENOW P63302
MRPS9 P82933
MC1R Q01726
MFGE8 Q08431
DMP1 Q13316
ADAM9 Q13443
PKD2 Q13563
OR2F1 Q13607
NAA25 Q14CX7
RNPS1 Q15287
DLG2 Q15700
MSMP Q1L6U9
TCTN1 Q2MV58
GAB4 Q2WGN9
ALKBH6 Q3KRA9
CCDC93 Q567U6
OCIAD2 Q56VL3
DCAF6 Q58WW2
C9orf152 Q5JTZ5
SNAPC4 Q5SXM2
C9orf50 Q5SZB4
UBAP2 Q5T6F2
TUT4 Q5TAX3
AGBL2 Q5U5Z8
CFAP161 Q6P656
SPAG11A Q6PDA7
TREML4 Q6UXN2
NSMF Q6X4W1
MAP3K15 Q6ZN16
BRINP3 Q76B58
OR2W3 Q7Z3T1
SDK1 Q7Z5N4
TRPT1 Q86TN4
KRT73 Q86Y46
DNAAF5 Q86Y56
CCDC28A Q8IWP9
ARHGEF28 Q8N1W1
MYCT1 Q8N699
OR6P1 Q8NGX9
BAALC Q8WXS3
MS4A6E Q96DS6
RTP4 Q96DX8
RBMXL1 Q96E39
INTS4 Q96HW7
ZNF414 Q96IQ9
CHAMP1 Q96JM3
SORCS2 Q96PQ0
SMG1 Q96Q15
NIBAN2 Q96TA1
TEX13B Q9BXU2
FANCD2 Q9BXW9
LNPK Q9C0E8
LRRC27 Q9C0I9
DDX24 Q9GZR7
ARV1 Q9H2C2
CLK4 Q9HAZ1
IL21 Q9HBE4
ADGRL4 Q9HBW9
OBP2B Q9NPH6
CREBZF Q9NS37
NRBP2 Q9NSY0
GIMAP4 Q9NUV9
COMMD3 Q9UBI1
BAZ2B Q9UIF8
TUBD1 Q9UJT1
SHROOM4 Q9ULL8
SCAF8 Q9UPN6
UST Q9Y2C2
COG6 Q9Y2V7
DMRT1 Q9Y5R6
SLC25A15 Q9Y619
FKBP7 Q9Y680
IGLV1-50 A0A075B6I6
TRAV8-2 A0A0B4J237
IGHV7-4-1 A0A0J9YVY3
KIR2DL1 A0A5K1VDZ0
POTEF A5A3E0
LRRIQ3 A6PVS8
FAM25E A8MYX2
IBA57-DT B1ANH7
RSPH10B2 B2RC85
PPEF1 O14829
CCL16 O15467
RASA4 O43374
LIAS O43766
PCDHGA12 O60330
NOBOX O60393
ONECUT3 O60422
USH2A O75445
TRIO O75962
ELP1 O95163
KAT7 O95251
MATN4 O95460
GSR P00390
F9 P00740
IGHV3-13 P01766
CEACAM5 P06731
KRT16 P08779
ACAA1 P09110
CD7 P09564
SON P18583
EPHA1 P21709
UBA1 P22314
AGL P35573
MATK P42679
OR3A3 P47888
CRYBA2 P53672
FOXA3 P55318
RAB15 P59190
RPS24 P62847
GTF2I P78347
HDLBP Q00341
IL5RA Q01344
NAAA Q02083
ERCC6 Q03468
PTPN12 Q05209
FAM53B Q14153
ZNF846 Q147U1
OR8G1 Q15617
HKDC1 Q2TB90
RABGAP1L Q5R372
PDSS1 Q5T2R2
CROCC Q5TZA2
SCIMP Q6UWF3
METTL7B Q6UX53
LARP4 Q71RC2
TAOK1 Q7L7X3
TMPRSS11B Q86T26
TICAM2 Q86XR7
MYO1H Q8N1T3
GALNT15 Q8N3T1
DEFB125 Q8N687
ESX1 Q8N693
SLC66A3 Q8N755
ABTB2 Q8N961
GPBAR1 Q8TDU6
NKD2 Q969F2
RIPOR3 Q96MK2
EGFL8 Q99944
FNDC11 Q9BVV2
GON7 Q9BXV9
MRPL9 Q9BYD2
FOXP3 Q9BZS1
TANC1 Q9C0D5
FGF23 Q9GZV9
SCAND2P Q9GZW5
ENKD1 Q9H0I2
TSPAN10 Q9H1Z9
OR51I1 Q9H343
KDM4C Q9H3R0
ZDHHC6 Q9H6R6
FGF20 Q9NP95
ACP6 Q9NPH0
MED4 Q9NPJ6
SPINK5 Q9NQ38
GKN1 Q9NS71
GJB4 Q9NTQ9
FBXO28 Q9NVF7
INTS10 Q9NVR2
UGGT2 Q9NYU1
FOXJ2 Q9P0K8
HDAC6 Q9UBN7
ZNF69 Q9UC07
PLEKHB1 Q9UF11
DMBT1 Q9UGM3
HPSE Q9Y251
INPP5F Q9Y2H2
SNX24 Q9Y343
CRYBG1 Q9Y4K1
ACTL7A Q9Y615
RFNG Q9Y644
AFDN-DT Q9Y6Z5
TRBV19 A0A075B6N1
TRAV13-2 A0A0B4J235
KIR2DS5 A0A376A8Z9
SBNO1 A3KN83
C2orf72 A6NCS6
C19orf67 A6NJJ6
C17orf98 A8MV24
TNFRSF10A O00220
ENC1 O14682
SNPH O15079
SGSM2 O43147
ZNF208 O43345
LAT O43561
LEFTY1 O75610
SYNGR4 O95473
LY6G6C O95867
TGM6 O95932
AMY2A P04746
HNRNPC P07910
MME P08473
FURIN P09958
GLI3 P10071
GLI4 P10075
KRT10 P13645
ZNF14 P17017
PTPRA P18433
XRCC1 P18887
PTPRZ1 P23471
MPST P25325
CTNNA2 P26232
NCAPD3 P42695
ZAP70 P43403
MKI67 P46013
CAMLG P49069
RAB25 P57735
PLP1 P60201
RAP1B P61224
RPS6 P62753
VSNL1 P62760
RPL30 P62888
GNG5 P63218
RAE1 P78406
SRSF2 Q01130
WASHC5 Q12768
INSL4 Q14641
TMED2 Q15363
ELOC Q15369
MAPK6 Q16659
VMAC Q2NL98
FLYWCH1 Q4VC44
CEP55 Q53EZ4
BEX5 Q5H9J7
KRBOX4 Q5JUW0
ANXA8L1 Q5VT79
TRPM1 Q7Z4N2
ZNF589 Q86UQ0
CILP2 Q8IUL8
SLC34A3 Q8N130
OGFOD1 Q8N543
DPP10 Q8N608
EMC1 Q8N766
CLDN22 Q8N7P3
OR8J1 Q8NGP2
OR10Q1 Q8NGQ4
OR52E5 Q8NH55
ATL2 Q8NHH9
AEN Q8WTP8
GPRASP2 Q96D09
STARD4 Q96DR4
ELMOD3 Q96FG2
KIF12 Q96FN5
APIP Q96GX9
SUSD3 Q96L08
LINC00479 Q96M42
CFAP57 Q96MR6
ZNF583 Q96ND8
MTMR9 Q96QG7
LMF1 Q96S06
PKP4 Q99569
CORO1B Q9BR76
SH2D3A Q9BRG2
ANAPC13 Q9BS18
TARS2 Q9BW92
STK31 Q9BXU1
MRPL13 Q9BYD1
XPO4 Q9C0E2
SMDT1 Q9H4I9
ESF1 Q9H501
TOMM22 Q9NS69
TM7SF3 Q9NS93
MAN2C1 Q9NTJ4
TBC1D22B Q9NU19
KLHL11 Q9NVR0
ADPRS Q9NX46
MARK1 Q9P0L2
SEMA5B Q9P283
MBD2 Q9UBB5
HESX1 Q9UBX0
KLF15 Q9UIH9
TCAF1 Q9Y4C2
TRBV9 A0A0B4J1U6
TRBV6-5 A0A0K0K1A5
SSU72P7 A0A1W2PQ27
IGHD6-13 A0A1Y8EI39
SHISA3 A0PJX4
PPP1R3G B7ZBB8
ARMH2 H3BNL8
PPEF2 O14830
FYB1 O15117
NDUFB3 O43676
TSPAN2 O60636
EDF1 O60869
PFDN1 O60925
FKBP6 O75344
CA11 O75493
ABCC6 O95255
NSA2 O95478
CPSF4 O95639
MAP4K4 O95819
FTCD O95954
SERPINA1 P01009
KRT14 P02533
KLKB1 P03952
KRT18 P05783
UGT2B4 P06133
PSAP P07602
MMP3 P08254
DUX4L2 P0CJ85
STAG3L2 P0CL84
TNNI3 P19429
ATP6V1B2 P21281
ARR3 P36575
RECQL P46063
PITX1 P78337
DLK1 P80370
SLC38A11 Q08AI6
BPTF Q12830
ALKBH1 Q13686
KRT32 Q14532
ZNF273 Q14593
C10orf120 Q5SQS8
